ALG,Case,Visited,Distance
BFS,Base,363,15
BFS,Reverse,794,15
BFS,Base,1595,31
BFS,Reverse,5002,31
BFS,Base,6849,63
BFS,Reverse,20226,63
BFS,Base,27315,127
BFS,Reverse,54950,127
BFS,Base,54955,255
BFS,Reverse,54955,255
IDS,Base,239,15
IDS,Reverse,945,15
IDS,Base,993,31
IDS,Reverse,10651,31
IDS,Base,3944,63
IDS,Reverse,30115,63
IDS,Base,16116,127
IDS,Reverse,47163,127
IDS,Base,1094,255
IDS,Reverse,49308,255
UCS,Base,351,15
UCS,Reverse,619,15
UCS,Base,1198,31
UCS,Reverse,2771,31
UCS,Base,7142,63
UCS,Reverse,16187,63
UCS,Base,23367,127
UCS,Reverse,53800,127
UCS,Base,54952,255
UCS,Reverse,54916,255
Greedy,Base,69,15
Greedy,Reverse,57,15
Greedy,Base,141,31
Greedy,Reverse,126,31
Greedy,Base,284,63
Greedy,Reverse,285,63
Greedy,Base,593,127
Greedy,Reverse,555,127
Greedy,Base,978,255
Greedy,Reverse,1046,255
Astar,Base,218,15
Astar,Reverse,56,15
Astar,Base,521,31
Astar,Reverse,149,31
Astar,Base,3738,63
Astar,Reverse,1343,63
Astar,Base,8078,127
Astar,Reverse,4549,127
Astar,Base,44194,255
Astar,Reverse,29632,255
