ALG,Distance,Case,Visited
BFS,16,Base,203.0
BFS,16,Reverse,256.0
BFS,31,Base,580.0
BFS,31,Reverse,949.0
BFS,63,Base,13723.0
BFS,63,Reverse,22137.0
BFS,127,Base,6468.0
BFS,127,Reverse,21908.0
BFS,255,Base,17574.0
BFS,255,Reverse,22282.0
IDS,16,Base,323.0
IDS,16,Reverse,400.0
IDS,31,Base,318.0
IDS,31,Reverse,1962.0
IDS,63,Base,8261.0
IDS,63,Reverse,18657.0
IDS,127,Base,828.0
IDS,127,Reverse,14519.0
IDS,255,Base,4546.0
IDS,255,Reverse,6977.0
UCS,16,Base,160.0
UCS,16,Reverse,242.0
UCS,31,Base,563.0
UCS,31,Reverse,901.0
UCS,63,Base,13623.0
UCS,63,Reverse,20394.0
UCS,127,Base,6149.0
UCS,127,Reverse,19281.0
UCS,255,Base,16353.0
UCS,255,Reverse,22228.0
Greedy,16,Base,43.0
Greedy,16,Reverse,42.0
Greedy,31,Base,125.0
Greedy,31,Reverse,109.0
Greedy,63,Base,3811.0
Greedy,63,Reverse,3163.0
Greedy,127,Base,819.0
Greedy,127,Reverse,3163.0
Greedy,255,Base,1210.0
Greedy,255,Reverse,3796.0
Astar,16,Base,42.0
Astar,16,Reverse,41.0
Astar,31,Base,290.0
Astar,31,Reverse,108.0
Astar,63,Base,5278.0
Astar,63,Reverse,5082.0
Astar,127,Base,4054.0
Astar,127,Reverse,4610.0
Astar,255,Base,8050.0
Astar,255,Reverse,12907.0
